City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Boras,Vastra Gotaland,Sweden,57.72,12.92,Europe/Stockholm,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,159,SSE,1000.0,29.53,0.01,0.0,100,75,4.7,40.5,10.0,6.0,2.0,2.1,3.3
Borlange,Dalarnas Lan,Sweden,60.48,15.42,Europe/Stockholm,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.3,6.8,30,NNE,1002.0,29.59,0.21,0.01,93,60,2.3,36.1,3.7,2.0,1.0,6.3,10.1
Brevik,Akershus,Norway,59.75,10.71,Europe/Oslo,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,11.9,19.1,30,NNE,1002.0,29.59,0.36,0.01,70,100,4.6,40.4,2.0,1.0,1.0,9.4,15.0
Bunkeflostrand,Skane Lan,Sweden,55.53,12.95,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,9.0,48.2,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,10.5,16.9,150,SSE,1000.0,29.53,0.27,0.01,81,50,6.9,44.4,10.0,6.0,2.0,11.9,19.1
Ekero,Stockholms Lan,Sweden,59.27,17.73,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,160,SSE,1002.0,29.59,0.0,0.0,93,25,5.3,41.6,10.0,6.0,3.0,7.8,12.5
Eksjo,Jonkopings Lan,Sweden,57.67,14.95,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,180,S,1000.0,29.53,0.0,0.0,100,100,4.1,39.3,10.0,6.0,3.0,4.0,6.4
Enkoping,Uppsala Lan,Sweden,59.63,17.07,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,133,SE,1002.0,29.59,0.03,0.0,93,100,4.8,40.7,10.0,6.0,2.0,5.5,8.9
Eskilstuna,Sodermanlands Lan,Sweden,59.37,16.5,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,136,SE,1002.0,29.59,0.02,0.0,93,100,5.3,41.6,10.0,6.0,2.0,4.2,6.8
Eslov,Skane Lan,Sweden,55.83,13.33,Europe/Stockholm,1699697226,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,110,ESE,1000.0,29.53,0.12,0.0,100,75,5.3,41.6,10.0,6.0,2.0,7.3,11.7
Fagersta,Vastmanlands Lan,Sweden,60.0,15.78,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.3,6.8,30,NNE,1002.0,29.59,0.04,0.0,93,60,2.9,37.3,3.7,2.0,1.0,4.1,6.6
